tanggal,kk,cleaning,trial,rm,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik
20/01/2021,WOC21A0030,FALSE,FALSE,5043.46,48,24698,5000,1,5000,0,0,42,0,0,3,19,2,0
20/01/2021,WOC21A0032,FALSE,FALSE,2093.72,48,29372,2075,1,2075,0,0,18,0,0,3,8,0.3,0
21/01/2021,WOC21A0031,FALSE,FALSE,10044.65,48,24698,9975,1,9975,0,0,67,0,0,3,39,2.3,0
21/01/2021,WOC21A0033,FALSE,FALSE,495.93,48,24698,425,1,425,0,50,20.8,0,50,3,2,2,0
22/01/2021,WOC21A0034,FALSE,FALSE,6022.64,48,24698,6000,1,6000,0,0,21,0,0,3,21,0.3,0
22/01/2021,WOC21A0035,FALSE,FALSE,2614.3,48,24698,2550,1,2550,0,0,63.5,0,0,3,10,3,0
22/01/2021,WOC21A0036,FALSE,FALSE,2239.9,46,29372,2175,1,2175,0,0,64,0,0,3,8,2,0
22/01/2021,WOC21A0037,FALSE,FALSE,5852.43,46,29372,5325,1,5325,0,500,25,0,500,3,18,2,0
22/01/2021,WOC21A0039,FALSE,FALSE,2136.57,48,29372,2075,1,2075,0,50,11,0,50,3,8,0.3,0
25/01/2021,WOC21A0038,FALSE,FALSE,4264.75,46,29372,4150,1,4150,0,50,63,0,50,3,17,2,0
25/01/2021,WOC21A0040,FALSE,FALSE,5077.7,48,24698,5000,1,5000,0,0,76,0,0,3,18,1,0
26/01/2021,WOC21A0041,FALSE,FALSE,6074.28,46,24698,5950,1,5950,0,100,22.2,0,100,3,21,2,0
26/01/2021,WOC21A0042,FALSE,FALSE,12944.65,46,24698,12775,1,12775,0,100,66,0,100,3,43,2,0
27/01/2021,WOC21A0043,FALSE,FALSE,5230.72,48,24698,5075,1,5075,0,100,54,0,100,3,19,4,0
14/01/2021,WOA21A0001,FALSE,TRUE,127.86,48,29372,100,1,100,0,0,27.8,0,0,3,0.4,0.2,0
27/01/2021,WOA21A0002,FALSE,TRUE,109.34,48,29372,100,1,100,0,0,9.3,0,0,3,0.4,0.2,0
18/01/2021,WOB21A0001,TRUE,FALSE,137.15,46,24698,0,1,0,0,0,137.1,0,0,3,0,0,0
25/01/2021,WOB21A0002,TRUE,FALSE,136.9,48,24698,0,1,0,0,0,136.8,0,0,3,0,0,0
27/01/2021,WOB21A0003,TRUE,FALSE,137.78,48,24698,0,1,0,0,0,137.7,0,0,3,0,0,0
02/06/2021,WOC21F0001,FALSE,FALSE,833.97,46,29372,825,1,825,0,0,8.5,0,0,3,3,0.2,0
02/06/2021,WOC21F0002,FALSE,FALSE,986.73,48,29372,975,1,975,0,0,11,0,0,3,3.5,0.3,0
02/06/2021,WOC21F0003,FALSE,FALSE,7901.76,48,24698,7825,1,7825,0,0,75,0,0,3,27.3,2,0
03/06/2021,WOC21F0004,FALSE,FALSE,1582.1,48,29372,1550,1,1550,0,0,31.5,0,0,3,5.6,0.3,0
03/06/2021,WOC21F0005,FALSE,FALSE,5005.36,46,24698,4925,1,4925,0,0,78.5,0,0,3,17.5,2,0
03/06/2021,WOC21F0006,FALSE,FALSE,2776.91,48,24698,2700,1,2700,0,0,75.5,0,0,3,10,0.3,0
03/06/2021,WOC21F0010,FALSE,FALSE,556.2,48,29372,540,1,540,0,0,14.5,0,0,3,2,0.1,0
04/06/2021,WOC21F0007,FALSE,FALSE,3027.63,48,24698,2950,1,2950,0,0,76.5,0,0,3,10.5,1,0
