tanggal,kk,mesin,fg_item,fg_qty,berat_unit,fg,hold,reject,waste,trimming,scrap_usage,dl,eff_hour,dt_produksi,dt_teknik,cleaning
30/01/2021,CR21/01,8,2851,30.77,8.4504,260,0,20,0,0,125,2,2,0.25,0,FALSE
30/01/2021,CR21/03,8,2851,114.79,8.4504,970,0,1126,0,0,1024,2,10.25,10.5,0,FALSE
31/01/2021,CR21/03,8,2851,145.91,8.4504,1233,0,680,0,0,1069,2,12.75,7,0,FALSE
01/02/2021,CR21/03,8,2851,264.6,8.4504,2236,0,450,0,0,1324,2,19.5,4.5,0,FALSE
02/02/2021,CR21/03,8,2851,253.6,8.4504,2143,0,445,0,0,1296,2,19.5,4.5,0,FALSE
03/02/2021,CR21/03,8,2851,39.05,8.4504,330,0,0,0,0,175,2,3,0,0,FALSE
07/02/2021,CR21/05,8,2851,14.91,8.4504,126,0,0,0,0,165,2,1.33,0,0,FALSE
08/02/2021,CR21/05,8,2851,15.03,8.4504,127,0,320,0,0,220,2,1.5,2.5,0,FALSE
10/02/2021,CR21/05,8,2851,168.04,8.4504,1420,0,540,0,0,0,2,12.5,5,0,FALSE
11/02/2021,CR21/05,8,2851,125.2,8.4504,1058,0,580,0,0,300,2,12,5,1,FALSE
13/02/2021,CR21/05,8,2851,119.76,8.4504,1012,0,150,0,0,571,2,11,2,0,FALSE
14/02/2021,CR21/05,8,2851,227.8,8.4504,1925,0,666,0,0,868,2,18,5,0,FALSE
15/02/2021,CR21/05,8,2851,153.01,8.4504,1293,0,1060,0,0,735,2,13.5,7.5,0,FALSE
17/02/2021,CR21/05,8,2851,11.6,8.4504,98,0,790,0,0,430,2,2.25,6.75,0,FALSE
18/02/2021,CR21/05,8,2851,182.48,8.4504,1542,0,606,0,0,737,2,16,6.5,0,FALSE
19/02/2021,CR21/05,8,2851,195.61,8.4504,1653,0,714,0,0,755,2,19,4,0,FALSE
20/02/2021,CR21/05,8,2851,80.82,8.4504,683,0,565,0,0,613,2,8,6.5,6.5,FALSE
22/02/2021,CR21/05,8,2851,6.04,8.4504,51,0,210,0,0,130,2,1,1,0,FALSE
22/02/2021,CR21/07,8,2851,86.27,8.4504,729,0,90,0,0,403,2,7,1,0,FALSE
23/02/2021,CR21/07,8,2851,277.15,8.4504,2342,0,505,0,0,1411,2,21,3,0,FALSE
24/02/2021,CR21/07,8,2851,223.78,8.4504,1891,0,581,0,0,1224,2,17.5,5,0,FALSE
25/02/2021,CR21/07,8,2851,298.21,8.4504,2520,0,110,0,0,1295,2,22.75,1.25,0,FALSE
26/02/2021,CR21/07,8,2851,263.42,8.4504,2226,0,305,0,0,1255,2,20,4,0,FALSE
27/02/2021,CR21/07,8,2851,319.27,8.4504,2698,0,160,0,0,1416,2,22.5,1.5,0,FALSE
28/02/2021,CR21/07,8,2851,26.63,8.4504,225,0,85,0,0,155,2,2.5,0.17,0,FALSE
03/03/2021,CR21/09,8,2851,169.81,8.4504,1435,0,350,0,0,886,2,13.25,2.75,0,FALSE
04/03/2021,CR21/09,8,2851,216.08,8.4504,1826,0,702,0,0,1252,2,18.5,5.5,0,FALSE
05/03/2021,CR21/09,8,2851,282.95,8.4504,2391,0,350,0,0,1351,2,21.75,2.25,0,FALSE
06/03/2021,CR21/09,8,2851,208.16,8.4504,1759,0,600,0,0,1169,2,19,3.5,0,FALSE
